key,balance,balanceEligible,balanceAtStart, isDisqualified, isNode, isActive,isEligibleFor_1_2,isEligibleFor_1_3
SQdrM4HjJiAWaNaprjzKuw6F3w31GxpSfx,250,250,0, no, no, no,no,no
SQeiMAeXwyV2gqCNeK5JE4HLvf5pwLLFH1,250,250,0, no, no, no,no,no
SQfa28GnVdDqBGEgb1vFHgVXdfANzEgmcr,250,250,0, no, no, no,no,no
SQg4PYt8rQk6B5CBURjqi515x82XdqnWby,250,250,0, no, no, no,no,no
SQgiWfareDRGkWhNkJPcGCQ3FJ8nfUoSDW,250,250,0, no, no, no,no,no
SQhuPYZFgY2DUC8adndt4Fvj476Mi8ntAu,1000,1000,0, no, no, no,yes,no
SQhwN8Y6XW5u18XGzwWK4yX3ibfPXuJ4G5,250,250,0, no, no, no,no,no
SQj7gHLa5Sj2XxPLqbxPatzwXkHgqmwzbA,40,40,0, no, no, no,no,no
SQkTJoDkDM3xVv9bezhaaWR2Fi5Ssppfzq,250,250,0, no, no, no,no,no
SQkyZLLC6bZJEThP8JbeWiBzqgsdGFnaUZ,250,250,0, no, no, no,no,no
SQmrFU8bvuk72NyXkcLHBzzaakHYzDfq7r,250,250,0, no, no, no,no,no
SQpq2mgXCyFD3QGWeqsoKkLeUWpT9oJnWF,250,250,0, no, no, no,no,no
SQqMyoyLTJrwvxji7fJfMvf815PHBbypcf,250,250,0, no, no, no,no,no
SQqQekd7YDpmyfGCBj1UC5sAF3FaviV5Gt,250,250,0, no, no, no,no,no
SQrDa5tmKHs8qZTiza57ShRQtijwgwd9Hd,250,250,0, no, no, no,no,no
SQuE1YWwTRSk1CMtu725BCfHowjd6XQb2Q,250,250,0, no, no, no,no,no
SQuKZH2smSaXwmZjE8jQEhpRoCc4Swiahu,1750,1750,0, no, no, no,yes,no
SQvRp24oLhR5Vu2i3yWjpLxn4oPYJ5eonh,250,250,0, no, no, no,no,no
SQvUsA6sgrfT5A31Py7jT1tcCkU3QvELe1,250,250,0, no, no, no,no,no
SQwHDizAgcWLSwZi6KkRKZ2m3PAbt9etB1,250,250,0, no, no, no,no,no
SQx7qyBBzTu3UzVUcXDtzDYvGF7bAUm712,250,250,0, no, no, no,no,no
SQzCB12oDHZCv4edtAfo4buynszZ47RxkJ,1500,1500,0, no, no, no,yes,no
SQzpgGyewZ77zUY74hs55wuLfcV8WM8jux,20,20,0, no, no, no,no,no
SR29umX4S3JSA4rXLsTqPy2UNSQy524GCZ,50000,50000,0, no, no, no,yes,no
SR2DnsWYJ8Gafze6Tb2hSp7N4Q2jYwpGKM,250,250,0, no, no, no,no,no
SR2RUenDx7N6XXoqgrMte9eHdExn5tyHvp,250,250,0, no, no, no,no,no
SR3WbC8oLmyURJnK2e18ECseeb4WXd9tQH,250,250,0, no, no, no,no,no
SR3w1JpEZDnZzt8F6SkWWJ8nDTeUKbKPyz,250,250,0, no, no, no,no,no
SR4H3WBVb6SjD9mYcVMnwgoaTBvHToQNJc,250,250,0, no, no, no,no,no
SR4vqp4ukpTAjjwe5DYGMVfdXU4TNfhLiL,250,250,0, no, no, no,no,no
SR5J8eT5oAvSpoXfRt5bNUNJ38NwvJNZAt,250,250,0, no, no, no,no,no
SR5ZYQ5uyCeM9ksrkUb4CKkVxf2ByzPLjC,250,250,0, no, no, no,no,no
SR6CJDMDdHGnYqptude6fivzTiP9gL56br,250,250,0, no, no, no,no,no
SR6qjPAnVR97yQDxenzTQ7G8nR5C5rbutk,25000,25000,0, no, no, no,yes,no
SR7aPV4SHwtgMY31jMZMKq9At3Z9ZtNQHR,500,500,0, no, no, no,no,no
SR7g1ZifPmfzNsst5HjR6rRNYCVziufAQb,250,250,0, no, no, no,no,no
SR8YYSNvzcdyx8DnFs27XErT31MbvGCqAG,250,250,0, no, no, no,no,no
SR8e1soFYujWHpxFGDdCxH4LLZWJ3qZvth,250,250,0, no, no, no,no,no
SR9ERjYMFAN4onmAYnCBa8i79GQWx6uQ7e,250,250,0, no, no, no,no,no
SRA2uM56ULRcEDks6uEyyZMd2AVJy9JsUE,250,250,0, no, no, no,no,no
SRABEj7c1K9YkH2oHWegWZqqUm1JGngxqz,250,250,0, no, no, no,no,no
SRARjFA99GnSPdZDDd71JmYXbzAxHUYi25,250,250,0, no, no, no,no,no
SRBd35kDr85cKe8whQdpRabMxbb3eFXzXy,33333,33333,0, no, no, no,yes,no
SRCcG6YFyJgzyWFWwx28uEfH11m83SXDCG,20,20,0, no, no, no,no,no
SRCjQBc2CtM312RU5zVnKv9ZKFhJAiYrjY,250,250,0, no, no, no,no,no
SREUHoMn4wtSZhJuq93UH94pQtbX1M99Bs,0,0,0, no, no, no,no,no
SREgdwD5YjPb2i7dqJFeqaPCK2xLiVWVE8,250,250,0, no, no, no,no,no
SRF3qSbqGUvF3YkP3B6STx1GV3gftc3wVc,250,250,0, no, no, no,no,no
SRG2vxCaisBo2YByEoAz9c2VYJVwy6XEna,250,250,0, no, no, no,no,no
SRGiCs64RVVmrv93E9F1KvYD74YdqqZNp3,250,250,0, no, no, no,no,no
SRH9ob4zsp8ZoRFFCv5bo21RKxs3xpkorX,1500,1500,0, no, no, no,yes,no
SRHTnc6xDxBZCThsdiod44uJ8L9ovfNRjL,79,79,0, no, no, no,no,no
SRHwoUdaTsto2V4JAmbHqavj8W6uK7stPo,250,250,0, no, no, no,no,no
SRJ4aTzMoUcCAxrjNETZWSCu2kHTiRirE6,250,250,0, no, no, no,no,no
SRJSXd3ypPBCYYme3nL9VgwkdLftjFDwVk,250,250,0, no, no, no,no,no
SRKx3u4D1Av4whkcSJaefavi3uoLr9oHe1,250,250,0, no, no, no,no,no
